City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
185,Whitehorse,CA,2022-08-07 21:21:05,60.7161,-135.0538,53.02,83,75,2.3,broken clouds
186,Yar-Sale,RU,2022-08-07 21:21:05,66.8333,70.8333,66.13,75,0,10.47,clear sky
187,Coos Bay,US,2022-08-07 21:18:32,43.3665,-124.2179,80.31,86,0,18.41,clear sky
188,Coquimbo,CL,2022-08-07 21:21:06,-29.9533,-71.3436,60.53,63,0,11.5,clear sky
189,Hofn,IS,2022-08-07 21:21:07,64.2539,-15.2082,52.59,98,100,11.61,overcast clouds
190,Vestmanna,FO,2022-08-07 21:21:07,62.1564,-7.1664,52.72,100,100,12.66,fog
191,Salalah,OM,2022-08-07 21:21:07,17.0151,54.0924,76.3,94,95,7.09,overcast clouds
192,Avera,US,2022-08-07 21:21:08,33.194,-82.5271,88.38,49,95,6.24,overcast clouds
193,Anaco,VE,2022-08-07 21:21:08,9.4389,-64.4728,81.91,65,96,5.03,overcast clouds
194,Grand Gaube,MU,2022-08-07 21:21:09,-20.0064,57.6608,67.37,78,8,4.0,clear sky
195,Etchojoa,MX,2022-08-07 21:21:09,26.9167,-109.6333,94.26,56,96,8.99,overcast clouds
196,Mattru,SL,2022-08-07 21:21:09,7.6244,-11.8332,73.02,95,89,3.0,overcast clouds
197,Stornoway,GB,2022-08-07 21:21:10,58.2093,-6.3865,57.92,89,100,10.36,overcast clouds
198,Uaua,BR,2022-08-07 21:21:10,-9.8414,-39.4817,75.76,64,70,16.78,broken clouds
199,Buba,GW,2022-08-07 21:21:11,11.5833,-15.0,75.81,95,100,6.17,moderate rain
200,Meulaboh,ID,2022-08-07 21:21:11,4.1363,96.1285,75.87,88,84,4.09,broken clouds
201,Imbituba,BR,2022-08-07 21:21:12,-28.24,-48.6703,64.85,99,100,4.05,heavy intensity rain
202,Mbuyapey,PY,2022-08-07 21:21:12,-26.2,-56.75,62.26,82,98,5.68,overcast clouds
203,Road Town,VG,2022-08-07 21:21:12,18.4167,-64.6167,84.29,84,40,12.66,scattered clouds
204,Itarema,BR,2022-08-07 21:21:13,-2.9248,-39.9167,78.53,80,55,18.45,broken clouds
205,Kavieng,PG,2022-08-07 21:21:13,-2.5744,150.7967,81.27,80,99,13.35,light rain
206,Pulivendla,IN,2022-08-07 21:21:14,14.4167,78.2333,78.08,73,100,23.24,light rain
207,Soyo,AO,2022-08-07 21:21:14,-6.1349,12.3689,68.4,88,5,7.34,clear sky
208,Kondinskoye,RU,2022-08-07 21:21:14,59.6481,67.41,63.23,67,43,3.06,scattered clouds
209,Byron Bay,AU,2022-08-07 21:21:15,-28.65,153.6167,46.71,74,0,9.6,clear sky
210,Pangnirtung,CA,2022-08-07 21:21:15,66.1451,-65.7125,44.92,85,100,2.42,overcast clouds
211,Hannibal,US,2022-08-07 21:16:37,39.7084,-91.3585,94.33,46,100,3.51,overcast clouds
212,Trairi,BR,2022-08-07 21:16:33,-3.2778,-39.2689,78.35,78,5,14.07,clear sky
213,Saint George,US,2022-08-07 21:21:01,37.1041,-113.5841,102.43,19,0,7.0,clear sky
214,Dawei,MM,2022-08-07 21:21:16,14.0833,98.2,75.18,95,100,6.55,moderate rain
215,Rockingham,US,2022-08-07 21:16:58,42.9668,-71.0995,93.47,76,87,10.71,overcast clouds
216,Acapulco,MX,2022-08-07 21:20:26,16.8634,-99.8901,87.62,70,75,9.22,broken clouds
217,Mino,JP,2022-08-07 21:21:17,34.8269,135.4706,83.43,83,75,3.44,broken clouds
218,Srikakulam,IN,2022-08-07 21:21:18,18.3,83.9,76.59,94,100,5.21,heavy intensity rain
219,Namie,JP,2022-08-07 21:21:18,37.4833,141.0,79.72,96,44,1.54,scattered clouds
220,Jiaojiang,CN,2022-08-07 21:21:19,28.6803,121.4428,80.01,94,14,3.6,few clouds
221,Airai,TL,2022-08-07 21:21:19,-8.9266,125.4092,57.34,58,9,2.95,clear sky
222,Vila Franca Do Campo,PT,2022-08-07 21:21:19,37.7167,-25.4333,72.01,88,29,6.69,light rain
223,Ulladulla,AU,2022-08-07 21:21:20,-35.35,150.4667,46.49,88,44,8.59,scattered clouds
224,Turukhansk,RU,2022-08-07 21:21:20,65.8167,87.9833,51.42,85,100,2.37,overcast clouds
225,Inverness,GB,2022-08-07 21:21:21,57.4791,-4.224,62.51,80,75,10.36,broken clouds
226,Pelym,RU,2022-08-07 21:22:21,61.0108,61.9978,66.27,72,71,3.96,broken clouds
227,Carnarvon,AU,2022-08-07 21:22:22,-24.8667,113.6333,62.08,77,0,11.7,clear sky
228,Zaraza,VE,2022-08-07 21:22:22,9.3503,-65.3245,87.8,59,99,4.9,overcast clouds
229,Mareeba,AU,2022-08-07 21:22:22,-17.0,145.4333,66.92,93,97,1.97,overcast clouds
230,Edd,ER,2022-08-07 21:22:23,13.9297,41.6925,91.11,62,98,3.22,overcast clouds
231,Mount Isa,AU,2022-08-07 21:22:23,-20.7333,139.5,51.57,43,0,5.75,clear sky
232,Hopelchen,MX,2022-08-07 21:19:27,19.7667,-89.85,86.41,58,100,8.05,overcast clouds
233,Bambanglipuro,ID,2022-08-07 21:22:24,-7.95,110.2833,74.62,86,90,4.5,overcast clouds
234,Tivaouane,SN,2022-08-07 21:22:24,14.9515,-16.8129,82.74,73,73,10.63,light rain
235,Longyearbyen,SJ,2022-08-07 21:21:56,78.2186,15.6401,46.24,93,75,9.22,broken clouds
236,Santa Cruz,BO,2022-08-07 21:20:26,-17.8,-63.1667,69.85,94,100,10.36,overcast clouds
237,Paamiut,GL,2022-08-07 21:22:25,61.994,-49.6678,43.18,88,4,18.99,clear sky
238,Alofi,NU,2022-08-07 21:22:25,-19.0595,-169.9187,80.49,69,5,11.5,clear sky
239,Lulea,SE,2022-08-07 21:22:26,65.5842,22.1547,53.67,71,0,5.75,clear sky
240,La Ronge,CA,2022-08-07 21:22:27,55.1001,-105.2842,80.85,34,40,10.36,scattered clouds
241,Ixtapa,MX,2022-08-07 21:19:14,20.7,-105.2,87.22,66,100,6.91,overcast clouds
242,Palu,ID,2022-08-07 21:22:27,-0.8917,119.8707,74.77,97,100,2.21,overcast clouds
243,Inirida,CO,2022-08-07 21:22:18,3.8653,-67.9239,81.52,75,95,1.5,overcast clouds
244,Pimampiro,EC,2022-08-07 21:22:28,0.4,-77.9667,69.06,54,51,6.98,broken clouds
